Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2023,CHO,47,2023-01-21,0,ATL,W,122,118,45,89,.506,13,34,.382,19,22,.864,6,36,28,11,2,12,18,45,83,.542,11,25,.440,17,20,.850,6,40,24,5,4,18,20
2023,CHO,48,2023-01-23,0,UTA,L,102,120,38,85,.447,2,16,.125,24,34,.706,11,42,22,8,7,15,23,41,86,.477,16,40,.400,22,26,.846,9,46,25,8,4,16,26
2023,CHO,49,2023-01-24,0,PHO,L,97,128,39,96,.406,6,25,.240,13,18,.722,10,40,19,10,5,14,21,47,94,.500,22,39,.564,12,13,.923,15,55,38,3,10,18,21
2023,CHO,50,2023-01-26,1,CHI,W,111,96,39,84,.464,7,32,.219,26,31,.839,6,52,24,8,5,16,19,37,91,.407,4,25,.160,18,22,.818,7,43,16,8,2,13,20
2023,CHO,51,2023-01-29,1,MIA,W,122,117,45,83,.542,15,40,.375,17,22,.773,11,47,25,6,3,19,18,45,93,.484,10,31,.323,17,23,.739,10,36,26,11,0,11,17
2023,CHO,52,2023-01-31,0,MIL,L,115,124,42,111,.378,11,39,.282,20,26,.769,18,62,27,6,6,11,24,43,105,.410,15,44,.341,23,27,.852,16,66,18,7,8,12,21
2023,CHO,53,2023-02-02,0,CHI,L,98,114,39,93,.419,7,35,.200,13,15,.867,16,45,19,6,4,15,15,41,79,.519,11,28,.393,21,26,.808,8,40,24,9,3,14,18
2023,CHO,54,2023-02-03,0,DET,L,112,118,40,90,.444,9,34,.265,23,30,.767,8,37,22,16,2,14,20,44,86,.512,14,32,.438,16,23,.696,12,51,27,7,3,23,22
2023,CHO,55,2023-02-05,1,ORL,L,113,119,45,83,.542,12,33,.364,11,23,.478,8,39,28,8,6,15,23,42,91,.462,8,23,.348,27,30,.900,18,52,25,6,2,12,18
2023,CHO,56,2023-02-08,0,WAS,L,104,118,39,93,.419,9,31,.290,17,21,.810,12,40,23,11,5,7,17,44,87,.506,15,37,.405,15,17,.882,11,52,29,4,12,17,17
2023,CHO,57,2023-02-10,0,BOS,L,116,127,45,93,.484,8,23,.348,18,26,.692,11,47,26,9,6,13,18,44,89,.494,25,55,.455,14,17,.824,5,43,34,7,7,15,22
2023,CHO,58,2023-02-11,1,DEN,L,105,119,40,85,.471,8,32,.250,17,29,.586,5,37,25,11,8,14,18,50,99,.505,5,23,.217,14,17,.824,14,51,35,7,5,14,20
2023,CHO,59,2023-02-13,1,ATL,W,144,138,53,84,.631,20,37,.541,18,23,.783,3,35,36,5,5,17,19,53,108,.491,11,28,.393,21,21,1.000,16,42,26,9,4,12,15
2023,CHO,60,2023-02-15,1,SAS,W,120,110,43,96,.448,14,35,.400,20,29,.690,15,58,26,8,12,16,17,41,107,.383,13,38,.342,15,20,.750,20,58,24,7,6,15,24
2023,CHO,61,2023-02-24,0,MIN,W,121,113,43,92,.467,10,28,.357,25,28,.893,11,52,25,10,4,11,17,46,93,.495,11,33,.333,10,16,.625,7,45,25,6,11,16,20
2023,CHO,62,2023-02-25,1,MIA,W,108,103,38,88,.432,10,31,.323,22,27,.815,11,48,20,10,2,15,22,32,80,.400,11,36,.306,28,34,.824,7,42,24,7,3,18,25
2023,CHO,63,2023-02-27,1,DET,W,117,106,43,83,.518,13,26,.500,18,22,.818,7,46,24,8,3,17,22,42,92,.457,3,26,.115,19,27,.704,10,39,18,12,3,9,18
2023,CHO,64,2023-03-01,1,PHO,L,91,105,32,88,.364,9,33,.273,18,28,.643,12,48,20,3,7,14,17,42,89,.472,9,25,.360,12,15,.800,5,48,30,8,9,13,22
2023,CHO,65,2023-03-03,1,ORL,L,106,117,38,78,.487,9,24,.375,21,25,.840,8,34,25,11,4,21,20,46,86,.535,10,26,.385,15,19,.789,13,42,21,9,4,20,24
2023,CHO,66,2023-03-05,0,BRK,L,86,102,33,88,.375,8,30,.267,12,15,.800,5,49,17,2,3,10,19,36,92,.391,12,43,.279,18,22,.818,8,52,21,5,9,8,12
2023,CHO,67,2023-03-07,0,NYK,W,112,105,42,85,.494,12,32,.375,16,21,.762,10,42,27,2,5,12,20,38,89,.427,11,40,.275,18,24,.750,10,39,18,3,4,8,18
2023,CHO,68,2023-03-09,0,DET,W,113,103,43,86,.500,8,24,.333,19,32,.594,13,44,24,11,9,13,18,40,89,.449,7,21,.333,16,20,.800,17,48,20,5,4,19,22
2023,CHO,69,2023-03-11,1,UTA,L,111,119,40,98,.408,17,40,.425,14,15,.933,11,43,24,5,14,7,15,46,103,.447,9,32,.281,18,20,.900,20,60,22,4,4,11,17
2023,CHO,70,2023-03-12,1,CLE,L,108,114,41,80,.513,10,21,.476,16,22,.727,7,43,25,8,5,19,26,41,87,.471,7,27,.259,25,34,.735,11,40,18,8,3,10,22
